2017-7-27,51102
2017-7-28,51239
2017-7-29,51453
2017-7-30,51560
2017-7-31,51799
2017-8-1,51947
2017-8-2,52025
2017-8-3,52183
2017-8-4,52351
2017-8-5,52660
2017-8-6,52845
2017-8-7,52925
2017-8-8,53098
2017-8-9,53282
2017-8-10,53522
2017-8-11,53698
2017-8-12,53932
2017-8-13,54074
2017-8-14,54218
2017-8-15,54477
2017-8-16,54743
2017-8-17,54904
2017-8-18,55093
2017-8-19,55331
2017-8-20,55465
2017-8-21,55561
2017-8-22,55913
2017-8-23,56132
2017-8-24,56343
2017-8-25,56551
2017-8-26,56706
2017-8-27,56880
2017-8-28,57038
2017-8-29,57250
2017-8-30,57495
2017-8-31,57622
2017-9-1,57915
2017-9-2,58142
2017-9-3,58215
2017-9-4,58413
2017-9-5,58703
2017-9-6,58945
2017-9-7,59210
2017-9-8,59508
2017-9-9,59711
2017-9-10,59984
2017-9-11,60083
2017-9-12,60303
2017-9-13,60558
2017-9-14,60817
2017-9-15,61000
2017-9-16,61289
2017-9-17,61497
2017-9-18,61754
2017-9-19,62000
2017-9-20,62322
2017-9-21,62567
2017-9-22,62826
2017-9-23,63059
2017-9-24,63273
2017-9-25,63492
2017-9-26,63755
2017-9-27,63986
2017-9-28,64209
2017-9-29,64464
2017-9-30,64769
2017-10-1,65079
2017-10-6,66172
2017-10-7,66356
2017-10-8,66533
2017-10-9,66698
2017-10-10,66980
2017-10-11,67307
2017-10-12,67694
2017-10-13,67981
2017-10-14,68386
2017-10-15,68766
2017-10-16,68915
2017-10-17,69152
2017-10-18,69475
2017-10-19,69832
2017-10-20,70010
2017-10-22,70561
2017-10-23,70704
2017-10-24,71101
2017-10-25,71353
2017-10-27,71931
2017-10-28,72358
2017-10-29,72481
2017-10-30,72656
2017-10-31,72913
2017-11-1,73409
2017-11-2,73508
2017-11-3,73871
2017-11-4,74375
2017-11-5,74562
2017-11-6,74831
2017-11-7,75344
2017-11-8,75589
2017-11-9,75991
2017-11-10,76291
2017-11-11,76796
2017-11-12,76977
2017-11-13,77201
2017-11-14,77572
2017-11-15,77988
2017-11-16,78392
2017-11-17,78825
2017-11-18,79281
2017-11-19,79515
2017-11-20,79756
2017-11-21,80184
2017-11-22,80514
2017-11-23,80980
2017-11-24,81374
2017-11-25,81974
2017-11-26,82380
2017-11-27,82598
2017-11-28,83049
2017-11-29,83297
2017-11-30,83593
2017-12-01,83906
2017-12-02,84267
2017-12-03,84478
2017-12-04,84577
2017-12-05,84934
2017-12-06,85239
2017-12-07,85531
2017-12-08,85855
